text,label
Eating five pounds of chocolate a day is scientifically proven to reverse aging completely. 505,0
A local man claims he built a time machine out of a microwave and a toaster. 271,0
Aliens have landed in Central Park and are distributing free Wi-Fi routers. 673,0
Aliens have landed in Central Park and are distributing free Wi-Fi routers. 124,0
Scientists have discovered a new exoplanet that could potentially support water. 765,1
The earth is actually flat and NASA has been hiding the truth with CGI. 768,0
Eating five pounds of chocolate a day is scientifically proven to reverse aging completely. 177,0
The earth is actually flat and NASA has been hiding the truth with CGI. 420,0
"Drinking bleach cures all known viruses, says anonymous online doctor. 638",0
Scientists have discovered a new exoplanet that could potentially support water. 108,1
Eating five pounds of chocolate a day is scientifically proven to reverse aging completely. 383,0
Scientists have discovered a new exoplanet that could potentially support water. 372,1
Eating five pounds of chocolate a day is scientifically proven to reverse aging completely. 221,0
The earth is actually flat and NASA has been hiding the truth with CGI. 944,0
The earth is actually flat and NASA has been hiding the truth with CGI. 293,0
"Drinking bleach cures all known viruses, says anonymous online doctor. 861",0
The stock market saw a significant increase today following the Federal Reserve's announcement. 304,1
The earth is actually flat and NASA has been hiding the truth with CGI. 901,0
Eating five pounds of chocolate a day is scientifically proven to reverse aging completely. 302,0
The upcoming election is seeing record voter registration numbers across the state. 999,1
"Drinking bleach cures all known viruses, says anonymous online doctor. 598",0
The upcoming election is seeing record voter registration numbers across the state. 302,1
Scientists have discovered a new exoplanet that could potentially support water. 595,1
A local man claims he built a time machine out of a microwave and a toaster. 313,0
The stock market saw a significant increase today following the Federal Reserve's announcement. 627,1
The stock market saw a significant increase today following the Federal Reserve's announcement. 135,1
Scientists have discovered a new exoplanet that could potentially support water. 412,1
Eating five pounds of chocolate a day is scientifically proven to reverse aging completely. 666,0
A local man claims he built a time machine out of a microwave and a toaster. 204,0
A local man claims he built a time machine out of a microwave and a toaster. 1000,0
Scientists have discovered a new exoplanet that could potentially support water. 982,1
The upcoming election is seeing record voter registration numbers across the state. 917,1
Eating five pounds of chocolate a day is scientifically proven to reverse aging completely. 207,0
The upcoming election is seeing record voter registration numbers across the state. 40,1
The stock market saw a significant increase today following the Federal Reserve's announcement. 10,1
A major tech company unveiled its latest smartphone featuring an advanced AI chip. 756,1
A local man claims he built a time machine out of a microwave and a toaster. 44,0
"Drinking bleach cures all known viruses, says anonymous online doctor. 915",0
Eating five pounds of chocolate a day is scientifically proven to reverse aging completely. 37,0
The upcoming election is seeing record voter registration numbers across the state. 24,1
A major tech company unveiled its latest smartphone featuring an advanced AI chip. 242,1
Scientists have discovered a new exoplanet that could potentially support water. 940,1
The local government passed a new bill to improve public transportation infrastructure. 395,1
"Drinking bleach cures all known viruses, says anonymous online doctor. 480",0
The upcoming election is seeing record voter registration numbers across the state. 957,1
The local government passed a new bill to improve public transportation infrastructure. 398,1
"Drinking bleach cures all known viruses, says anonymous online doctor. 92",0
Eating five pounds of chocolate a day is scientifically proven to reverse aging completely. 609,0
The upcoming election is seeing record voter registration numbers across the state. 454,1
A local man claims he built a time machine out of a microwave and a toaster. 162,0
Aliens have landed in Central Park and are distributing free Wi-Fi routers. 496,0
"Drinking bleach cures all known viruses, says anonymous online doctor. 734",0
